" "	competence	feedbacks	firstAssignment	firstHIT	hits	nonReasonCouns	timeAvg	timeMax	timeMin	timeStdev
A104V8NZIQFN2F	0.780	The artificial Intelligence question the con is blank. machines are not gaining the upper hand is what I assume it was.;On the first beach front access, where the lady discussed her creek bed and denying access there due to fear of litigation I figured she was using it as a comparison even though it was technically off topic.;Can young students learn from online classes? Something has bothered me about this question every time it has come up and I feel the way it is worded no one can ever be for it without their opinion being disqualified because it would have to be the BEST option for it to be a pro statement. Having to be the best seems to have any semi pro sentiment be disqualified while not really remaing nuetral.And not the best will qualify any negative sentiment.	3X08E93BHWUKTIQBG6HBO25QPPM66M	36U4VBVNQOPVVSH3EADARJEIALBRUO	133	0	221	877	57	113
A105ZUIAGMN8SW	0.807		30LB5CDZNDMR3HO7GMY5CZOUIT20ZI	3TTPFEFXCTWX4NDZMN3DX9YWKQW6H5	2	0	115	115	114	1
A10GJ2FOR16B2I	0.635		3I3WADAZ9RGEZKW1BJT0DWDHEV3O5D	39O6Z4JLX29F53SFSZT7CN2PP95XVF	1	0	205	205	205	0
A11H31X2XJH13N	0.001		3Z4XG4ZF493KGBTVA8NZ8TE1TR38X3	3P458N04Q1T68CUD4P9WAI5ESBD2XD	1	0	183	183	183	0
A11OL7IEDD9WYK	0.627	Interesting read.	37ZHEEHM6XY40ZHYGEO5NDT2AAK73Y	3G5RUKN2ECFCW218NS12M3MUW3CN95	2	0	456	596	316	198
A12BSTDKPP6DHL	0.687		3RKNTXVS3NA71XY0NV5879NYPISA4J	36FFXPMST90NTTJ3MJP7E9KN5QPHO4	72	0	98	588	39	69
A12JYZ8KCBLHHY	0.999		3Q8GYXHFEQEDQVZYLEK9IWJ0PGLC53	341YLJU21IB9IH5I539V78IZ4Y8I2S	1	0	463	463	463	0
A138V0KDC826EE	0.001		3NG53N1RLWVF72R4OHDIEGSYQPX8PB	3SMIWMMK61H03OYPD4NGEIMZ20QUWU	1	0	318	318	318	0
A13C6OXFS0EENC	1.000		37C0GNLMHGFJER5QQTPPU8FI6BH6DM	32L724R85LW5AO6O71K73LQSF80PIM	2	0	41	51	31	14
A13WZ8S1VLBSNG	0.520		373ERPL3YPKJHZZ747S2A7O05LATRJ	3A3KKYU7P3THQGTG42WUN855PENWM4	26	0	253	365	153	53
A13ZN4CRRIOJN7	0.729		3PJ71Z61R5EC4FRC8786DG5B7G791X	31KSVEGZ3448NW689ASB97ZFV1MRWN	9	0	240	342	181	58
A13ZO70SLO9DS8	0.571		3137ONMDKHHQ3Q8WY19VCHAS01KEGO	3QD8LUVX4XAY79D0M8BU8P8QCL3X58	4	0	188	211	138	33
A14BLROI3MEUXD	0.600		3IXQG4FA2UADHD94A41VJSIKTRBB9T	36U4VBVNQOPVVSH3EADARJEIALBRUO	60	0	273	423	48	62
A16NS4A6DE7AYK	0.999		3R2PKQ87NXK2B5645NXHA1SHOHFIMN	3CKVGCS3PGHRGL50VSZVSMV7GYQS0A	1	0	324	324	324	0
A17J1CE7N49Z9D	0.490		3X31TUMD7YY75HSLX4BWIPW679OL14	3R868ACW4SOLS12Z4MI697FQAUFZGP	9	0	105	528	33	159
A17MER4YDWJ8J8	0.533		3YGXWBAF71TVUCVY791ZD4DMQNWC4B	3QE4DGPGBRN5P4EAJTSGFB2H9ZDG4V	1	0	489	489	489	0
A19DOARRVT6ZNN	1.000		308Q0PEVB9PN4LNAGETC5FMXOHJI9X	3NKW03WTLMJ8BVR8WV3B4HPAZFKWQR	4	0	156	249	115	62
A19SCXTH1JPR5J	0.749		3QECW5O0KIDUCC1970FZ76J4D2D5T7	3VGZ74AYTGS8K8RPC8YYY9E51CTCG3	1	0	249	249	249	0
A1ANZ0LCLJTO9U	0.999		3OSWBBLG1F9WX6PMRGYFULS24IHXDF	3SZYX62S5GC4SU794V7WEQV2ASP75O	1	0	221	221	221	0
A1AV5D442NJWQN	0.547		3X1FV8S5JY3751UITRY5CLYE10AVG7	3LAZVA75NI3JE3GL3YM0R5ELG782O8	4	0	364	470	294	77
A1B2SEXWCH1G6T	0.346		3BDCF01OGY64VN3O9TI5WC7GEWBLYK	3126F2F5F8FTUJ42BIUGI6S0NFTPED	3	0	318	409	272	79
A1B3SALSDJ8ZOU	0.611		3WJ1OXY92BS8KYL2ZYVLOL33R3YA8Y	3VGZ74AYTGS8K8RPC8YYY9E51CTCG3	33	0	228	380	148	54
A1BS52YLDIGUD9	0.838	Very interesting HIT..Thanks!	3WMINLGALCFAW1BFGABQQ7ZMIXSCAM	3INZSNUD8023AQAVYYNZQYA0IZBD9E	3	0	365	417	323	48
A1CF6U3GF7DZEJ	0.759		3X87C8JFV7NIQY7S2SYCVCI97GOSQM	375VSR8FVWLCHRBDKXCI8BTXC3QRZD	28	0	211	551	74	123
A1CG3SMBJ1CEIQ	0.672		3KAKFY4PGVE1PJYUZ5S2E2JBOQJI3S	389A2A304OUB94G4Y69VDHRPUV50CP	2	0	249	304	194	78
A1CN819GM96RT1	0.668		3NXNZ5RS1B9QF16EXNPFEQWOB4C974	3HA5ODM5KA479M6GYPNKDFLXAU3SV2	1	0	408	408	408	0
A1EJS3MIGVI4M6	0.498		3VSOLARPKCL8EI5RVBMP19K85ZP39L	37PGLWGSJTI4ZX98U9FZ744TLYUKIG	3	0	219	225	215	5
A1F8COKN0DEC2M	0.657		39GXDJN2OUQSCMO0ATMHK8HGCD3V8O	372AGES0I4HNCWBYJFOXBQDM43SRXG	2	0	372	413	330	59
A1GPO13F5EY7FJ	0.108		3S3AMIZX3VH8U8ER0K2SG87S2XFCD7	30IRMPJWDZVHSWCRKW98LW5K8UDKRK	1	0	382	382	382	0
A1H3IOEYN0VNB2	0.883		3V0Z7YWSIZCHQ7MBUCDGAH4DQD7V2H	3CVBMEMMXBSG8NR45X853NYSF1G7H5	10	0	327	759	138	234
A1H5AJ0OEOLB3S	0.743		3DQQ64TANHXQX3NMMKTOSWVK8WZWPD	3RTFSSG7T8IXKYBV4QVFNVQGP9XWL2	115	0	196	843	59	172
A1H7XQCN2TQJM7	0.725		3SITXWYCNWL3I9R2DK79ZV421XYBXF	3VZYA8PITOAQAJ7PJWMNZBLF2EJ50M	14	0	198	333	86	71
A1HB2SR74I6KK7	0.914	I liked this	3R5F3LQFV3WC6YGQI70G20KCFT3OZA	37PGLWGSJTI4ZX98U9FZ744TLYUKIG	1	0	290	290	290	0
A1I4CYG5YDFTYM	0.713		3Z2R0DQ0JIQ0OW0PZMO6ADGRRLOE2L	37YYO3NWHD2V3WBKAM2F8ITQ3K1CCT	75	0	190	525	85	68
A1IGWV8HNDLRDC	0.002		3YMTUJH0DTSCGTX9TVWP2EDQD6D4TW	3BO3NEOQM0TYNK0MII2ADQ1XGM0IAZ	1	0	144	144	144	0
A1INS6Y15AWQZ5	0.368		3FE2ERCCZYKISUEKVY2EB2IY5WXPOV	302OLP89DZJ7AHEMQ86O2N323HHACQ	2	0	127	128	126	1
A1J0GU26323WVA	0.829		3FQ5JJ512M0ZZIHSHRXT0WWULANKN7	3O71U79SRB1OJZC7KXMTQJ2KJ1RMSF	3	0	228	261	182	41
A1KH9UPH0D74QJ	0.296		3ZQIG0FLQFS32NKI8W2NYOK2UM1WV3	3JVP4ZJHDP42M724QG5HOKPK70OI08	2	0	378	421	334	62
A1KVLBNP4EILPC	0.797		3EO896NRAX72JBGUW2JT8G29V4CTJN	3H6W48L9F41NBJQTWIOM4CZ0UJYWP0	2	0	292	322	262	42
A1L4R4Y3JRQF8V	0.147		3YGXWBAF71TVUCVY791ZD4DMPLW4CY	3W0KKJIARRLBARXVLN38UFAFI2PK88	5	0	435	601	340	117
A1L56N10HNI1JS	0.603		3DHE4R9OCXNY8AWG5HEUAG13410G21	3B623HUYJ429YAA3QWCAL11PZW38SE	3	0	394	594	265	175
A1LZBI2I4RJ6HQ	0.786		3CCZ6YKWR8VBSXSV9UAIG6ISJXV950	3WJGKMRWVIL58OHYAIXQSOB8OKDCDT	16	0	156	233	113	39
A1M9ZIU16FEKTD	0.674	"It would be nice to see more contemporary articles. The ""Are New York's Bike Lanes Working? "" article is at least six years old."	3LYA37P8IRZXY9SVE1SK91W04LSKB1	3YLTXLH3DFI5ETV41J2M39PDFVLHPL	15	0	555	675	314	102
A1N3J21E6L4VVO	0.999		3ATTHHXXWB0D5H58JUZQLI8FVKBIXH	3D1TUISJWICI2TEKONJ1DRDRNPSUIN	1	0	317	317	317	0
A1NLZ1AXACDN2Z	0.627		3JRJSWSMQIXP9EW83M2BTNLJWW1E32	36FFXPMST90NTTJ3MJP7E9KN5QPHO4	13	0	164	312	76	71
A1OKQLB6LMZX51	0.435		3907X2AHF1H4LNPF804H4PFV4QA2P9	3U18MJKL1UYEU08BZCBTOTN22OFNCM	1	0	583	583	583	0
A1OYYWJ2B7OQTD	1.000		374TNBHA8C7FMKJ11YQ1DY6AO06YQQ	3IH9TRB0FBB2TWNMMZ9H2P8UCSUI1B	2	0	131	132	129	2
A1PIWJSP8Q5UW7	0.576		3Q5C1WP23NDT3SP05HVP1009LK315D	3K2CEDRACBDPYZPM9XRJ0OY6LK5MT4	6	0	329	752	189	211
A1PQ56YTJSJN8B	0.777		3BXQMRHWK0A7KW14Z4MVT4GSJE3UMD	3ZUE82NE0AD0U55HKCCBE2IAA698FV	4	0	158	178	123	25
A1QVFB9FHEP6LR	0.541		34Z02EIMITPVH5F8AU9NQBNDWU7T0F	3PEG1BH7AE3UCPV2OZNILH0GQ8AKB7	1	0	365	365	365	0
A1SK4DOTFHAL8N	0.410		32Z9ZLUT1MWQFDGWCLU92TG7K66OHB	3D5G8J4N5AG8OMJVNPSANKHJCDHVTU	2	0	335	454	215	169
