" "	competence	feedbacks	firstAssignment	firstHIT	hits	nonReasonCouns	timeAvg	timeMax	timeMin	timeStdev
A10LVHTF26QHQC	0.578		3S4AW7T80CUOXGP4KMUYGN39LAB4LD	3N3WJQXELS2B8IDOQ668ZOARMNCL2Q	1	0	1190	1190	1190	0
A10O5YR01H865K	0.002		3OUYGIZWR8AXPDM1TD03L1MG99I0PF	3ZFRE2BDQ9QWENXPTWIAXTFLE54ZXH	1	0	760	760	760	0
A11UBOE8N877JJ	0.001	Thank you for the opportunity to participate in this study!	3P529IW9KZXYVWMT43QH7R00A05LF3	3TX9T2ZCB9DHPNSZJRMOVA1E53YZWO	1	0	373	373	373	0
A13NXSZ9D5NTHN	0.427		3570Y55XZQVO9VPNY2LPJK28KUMGY2	3HA5ODM5KA479M6GYPNKDFLXBFDVSM	1	0	1046	1046	1046	0
A142ZRU284W9O	0.004		3YMTUJH0DTSCGTX9TVWP2EDQFNV4TE	356ZPKYPUHTR0OLTBJ6AP9KG6C8YPI	1	0	752	752	752	0
A15FXHC1CVNW31	0.001		3570Y55XZQVO9VPNY2LPJK28KU9YG7	3ZFRE2BDQ9QWENXPTWIAXTFLE54ZXH	1	0	656	656	656	0
A15JP0TGZKLNIZ	0.998	Fun!! I want to do more	3NS0A6KXC5KOELZSUON8XRBAQOQGZT	356ZPKYPUHTR0OLTBJ6AP9KG6C8YPI	1	0	553	553	553	0
A15V8K8M4TXT9Y	0.671		333U7HK6IARV2MKXACJE3CKNUYXJD1	3N3WJQXELS2B8IDOQ668ZOARMNCL2Q	1	0	679	679	679	0
A15YUZ5RUNA6FI	0.300	Good.	34T446B1C1QEVODXO8EX11N9APHC0P	3N3WJQXELS2B8IDOQ668ZOARMNCL2Q	1	0	1009	1009	1009	0
A16QKM4Y78OH3F	0.240		3RU7GD8VPP5XQM6D2FJNV7SZ400SPR	3MXX6RQ9EVHB2H79MCI39KG9BBT4PN	1	0	748	748	748	0
A17MFEPFEPG9U8	0.004	This was pretty difficult, but I hope I did well!	3BF51CHDTWM5CWODA0SYCSKPNHM0HM	35F6NGNVM8V6DWIZ5RPUH61GRGKT7H	1	0	962	962	962	0
A19UBZFVUWL1ES	0.884		3QBD8R3Z22VW31S1XEAQ8473GFE4OS	35F6NGNVM8V6DWIZ5RPUH61GRGKT7H	1	0	669	669	669	0
A1B76WYZ47BQJ	0.006		39GAF6DQWSCA1M4FB8D25YU80OOV1V	3TX9T2ZCB9DHPNSZJRMOVA1E53YZWO	1	0	992	992	992	0
A1BF7DK6RJHQA1	0.334		3LO69W1SU4P49WIOFNWZPC0CBF5LG2	3ZFRE2BDQ9QWENXPTWIAXTFLE54ZXH	1	0	1185	1185	1185	0
A1BWR5RBQDZQ16	0.551	The instructions are kinda confusing.  Instead of a quick example on the sidebar, you should include an example already filled out that is similar to the exact ones we are working on.  Best of luck to you!	34FNN24DCNLQTY03H62YFNBJULVY5P	3W1K7D6QSBTP1KUOO0QS8WOTV2HBZL	1	0	732	732	732	0
A1C59M3HPCO503	0.001		3KIBXJ1WD66HH3H4I6X6FLWZD17KO1	3HA5ODM5KA479M6GYPNKDFLXBFDVSM	1	0	1016	1016	1016	0
A1CGDMOPDIC7EU	0.005		3G5F9DBFOQ9L5XPTDXGNXLAFHDKVHU	3W1K7D6QSBTP1KUOO0QS8WOTV2HBZL	1	0	1124	1124	1124	0
A1CPNA5L0J834N	0.003	this was a little bit confusing in how it was worded and also with the short timer was hard to get through everything; I felt like I was rushing because of the timer..	3PEIJLRY6U5V6CPD8B35M9HNCCJWXC	356ZPKYPUHTR0OLTBJ6AP9KG6C8YPI	1	0	693	693	693	0
A1DABMXVWWL0TR	0.749		3M68NM076IJDF1OV8UK9ZXWMNUVR62	3TX9T2ZCB9DHPNSZJRMOVA1E53YZWO	1	0	1193	1193	1193	0
A1F9KLZGHE9DTA	0.999	Thanks for the HIT!  I did my best and hope the data is useful!  This is my first time doing on of these tasks so please don't judge too harshly.	3PZDLQMM0UXLRYGB3VIBKPGO7NZ2CX	3BKZLF990ZBC00M8BWLZPEAQB8UYQ9	1	0	980	980	980	0
A1H053T5EXI6EP	0.773	Very interesting, I hope I can qualify to do more.	3Z4AIRP3C7P25B9ABNEKTJRTGZA1XI	356ZPKYPUHTR0OLTBJ6AP9KG6C8YPI	1	0	934	934	934	0
A1LTAYZAMU1A4C	0.666		37Z929RLGAKVIEZKJWS70HTWT3LSTW	3ZFRE2BDQ9QWENXPTWIAXTFLE54ZXH	1	0	624	624	624	0
A1M3VJEHKWDP8I	0.524		30IQTZXKALI2YMOSF4AKFE8JB73X0A	3HA5ODM5KA479M6GYPNKDFLXBFDVSM	1	0	1008	1008	1008	0
A1MYLQQL8BBOYT	0.688		3QRYMNZ7FZTY217FB0BL1NJQ64DTNL	3URJ6VVYUPZTHHV87C5OKKBJ16X4O6	1	0	855	855	855	0
A1OBWGLS5LRLT3	0.666		3O7L7BFSHF14ZHEROP9YXTN8HWZIE9	3ZFRE2BDQ9QWENXPTWIAXTFLE54ZXH	1	0	914	914	914	0
A1P0NNR8HOQ95R	0.004	more time!	3EA3QWIZ4J76O0WOEKYTWFN9K5JTI5	3G5RUKN2ECFCW218NS12M3MUXO69NS	1	0	1194	1194	1194	0
A1PLD2IWQLX4M5	0.753	I hope I did this right! Thank you for allowing me to try my best!	3L4D84MIL04CE2PZW824UXZLMQQJHA	3N3WJQXELS2B8IDOQ668ZOARMNCL2Q	1	0	839	839	839	0
A1QG4WF9ZTZTK2	0.004		3MRNMEIQW6I1XC8XDXVRJRXFYNPLDS	3W1K7D6QSBTP1KUOO0QS8WOTV2HBZL	1	0	1125	1125	1125	0
A1R4KVYEV07CAJ	0.240		3UNH76FOCTHO15L995JKWPM5GHNYMJ	3MXX6RQ9EVHB2H79MCI39KG9BBT4PN	1	0	846	846	846	0
A1VW8Y7XCV3DRW	0.662	I did the best I could with what I had. The examples are a little confusing and so are the directions.	33FBRBDW6PBWDDI0JCRCUGTRTNRC8A	35F6NGNVM8V6DWIZ5RPUH61GRGKT7H	1	0	1111	1111	1111	0
A1VWJ6LH1E3GLN	0.999	Interesting HIT.	3U84XHCDIDP82568ZNL7O2E70KKZ4U	3ZFRE2BDQ9QWENXPTWIAXTFLE54ZXH	1	0	991	991	991	0
A1WYDO7PQJ8UG	0.667	I think this HIT needs a longer timer, like at least an hour, because when working on mturk people often accept tasks while working on other ones and they won't have enough time if they don't get to this one immediately. And I feel like it would be easier if we were supposed to select the correct claim. The opposite logic made it harder to conceptualize the task at first glance.	3X73LLYYQ2Q8XSGKB6UWN4G2VBOHN7	3MXX6RQ9EVHB2H79MCI39KG9BBT4PN	1	0	946	946	946	0
A1X5IZPCRLL0Z7	0.884	Had to think about these! Thanks!	35K3O9HUACPKPQC1NH3DUWAG13JEFO	35F6NGNVM8V6DWIZ5RPUH61GRGKT7H	1	0	749	749	749	0
A1Y55YV1WA1TTD	0.667	cool hit	36H9ULYP636S06YT1IE4RCN86BDJFC	3BKZLF990ZBC00M8BWLZPEAQB8UYQ9	1	0	560	560	560	0
A1Z6F664MYBMVI	0.467		35LDD5557BGTH0WS5QITNH7UI1PKMJ	3N3WJQXELS2B8IDOQ668ZOARMNCL2Q	1	0	1140	1140	1140	0
A1ZB2NY0F9QNP0	0.004	I think more explanations/examples would have been helpful.	3FE2ERCCZYKISUEKVY2EB2IY7BAOP3	356ZPKYPUHTR0OLTBJ6AP9KG6C8YPI	1	0	992	992	992	0
A20VT3EOYFC6HS	0.998	I did find the wording of the instructions a bit confusing at first.	3JMSRU9HQJ69LNYRNW8HCID2PXSVEE	3W1K7D6QSBTP1KUOO0QS8WOTV2HBZL	1	0	917	917	917	0
A20X14OMRL0YPZ	0.334	This was more difficult than I thought.	3OVR4I9USQVZOD5HCR2UX923VGW4Q0	3BKZLF990ZBC00M8BWLZPEAQB8UYQ9	1	0	801	801	801	0
A21SIPO89DP66I	0.884		3LEIZ60CDKB9ZBCKGIHY5APNMCKZ9C	3G5RUKN2ECFCW218NS12M3MUXO69NS	1	0	997	997	997	0
A248P03SBIGVNH	0.667		39GXDJN2OUQSCMO0ATMHK8HGEUUV8F	3MXX6RQ9EVHB2H79MCI39KG9BBT4PN	1	0	428	428	428	0
