What	Premise-B
the	Premise-I
settlements	Premise-I
and	Premise-I
the	Premise-I
lack	Premise-I
of	Premise-I
criminal	Premise-I
prosecution	Premise-I
for	Premise-I
those	Premise-I
humans	Premise-I
who	Premise-I
made	Premise-I
the	Premise-I
decisions	Premise-I
to	Premise-I
engage	Premise-I
in	Premise-I
wrong	Premise-I
doing	Premise-I
is	Premise-I
that	Premise-I
there	Premise-I
is	Premise-I
at	Premise-I
least	Premise-I
on	Premise-I
class	Premise-I
of	Premise-I
humans	Premise-I
who	Premise-I
get	Premise-I
to	Premise-I
lie	Premise-I
,	Premise-I
cheat	Premise-I
and	Premise-I
still	Premise-I
with	Premise-I
no	Premise-I
consequences	Premise-I
.	Premise-I
In	O
fact	O
,	O
these	O
miscreants	O
get	O
honored	O
by	O
the	O
President	O
and	O
sweep	O
into	O
the	O
offices	O
of	O
the	O
very	O
agencies	O
tasked	O
with	O
regulating	O
them	O
to	O
lecture	O
agencies	O
heads	O
and	O
staff	O
about	O
how	O
regulation	O
is	O
wrong	O
.	O
And	O
on	O
top	O
of	O
all	O
of	O
this	O
,	O
taxpayers	O
get	O
to	O
cover	O
their	O
losses	O
,	O
virtually	O
pay	O
the	O
bloated	O
compensation	O
of	O
their	O
CEOs	O
and	O
lobbyists	O
while	O
the	O
masters	O
of	O
the	O
universe	O
get	O
to	O
listen	O
to	O
their	O
mouth	O
pieces	O
in	O
Congress	O
demean	O
hard	O
working	O
Americans	O
.	O
Yep	O
,	O
these	O
settlemts	O
say	O
a	O
lot	O
;	O
none	O
of	O
it	O
good	O
for	O
our	O
country	O
,	O
our	O
economy	O
or	O
most	O
of	O
the	O
humans	O
who	O
work	O
hard	O
and	O
cannot	O
seem	O
to	O
get	O
a	O
head	O
.	O
