How	Premise-B
about	Premise-I
the	Premise-I
quant	Premise-I
idea	Premise-I
of	Premise-I
respect	Premise-I
for	Premise-I
PATRONS	Premise-I
,	Premise-I
not	Premise-I
attitude	Premise-I
and	Premise-I
an	Premise-I
attempt	Premise-I
add	Premise-I
hidden	Premise-I
fees	Premise-I
(	Premise-I
a	Premise-I
la	Premise-I
movie	Premise-I
ticket	Premise-I
'	Premise-I
service	Premise-I
fees')	Premise-I
?	Premise-I
And	O
a	O
suggested	O
correction	O
:	O
"	O
If	O
anyone	O
understands	O
anything	O
about	O
the	O
economics	O
of	O
restaurants	O
they	O
would	O
know	O
that	O
[	O
ticked	O
off	O
patrons	O
going	O
elsewhere	O
]	O
are	O
the	O
difference	O
between	O
profit	O
and	O
[	O
going	O
out	O
of	O
business	O
]	O
.	O
"	O
"	O
If	O
anyone	O
understands	O
anything	O
about	O
the	O
economics	O
of	O
restaurants	O
they	O
would	O
know	O
that	O
a	O
few	O
tables	O
are	O
the	O
difference	O
between	O
profit	O
and	O
deficit	O
.	O
"	O
