"	Premise-B
Assad	Premise-I
has	Premise-I
been	Premise-I
key	Premise-I
to	Premise-I
its	Premise-I
[	Premise-I
ISIS	Premise-I
]	Premise-I
rise	Premise-I
in	Premise-I
Syria	Premise-I
and	Premise-I
beyond	Premise-I
.	Premise-I
"	Premise-I
I	O
beg	O
to	O
differ	O
.	O
Saudi	O
Arabia	O
and	O
Qatar	O
,	O
at	O
the	O
behest	O
of	O
the	O
US	O
State	O
Department	O
and	O
encouraged	O
by	O
neocon	O
PNacers	O
,	O
have	O
been	O
key	O
to	O
the	O
rise	O
of	O
ISIS	O
.	O
When	O
Mr	O
Hassan	O
introduces	O
as	O
a	O
fact	O
a	O
proposition	O
that	O
is	O
not	O
factual	O
,	O
I	O
feel	O
free	O
to	O
discount	O
his	O
opinion	O
.	O
