Since	Premise-B
many	Premise-I
teachers	Premise-I
don't	Premise-I
actually	Premise-I
teach	Premise-I
,	Premise-I
are	Premise-I
left	Premise-I
by	Premise-I
the	Premise-I
administration	Premise-I
to	Premise-I
run	Premise-I
a	Premise-I
classroom	Premise-I
any	Premise-I
way	Premise-I
they	Premise-I
want	Premise-I
to	Premise-I
,	Premise-I
since	Premise-I
it	Premise-I
is	Premise-I
extremely	Premise-I
rare	Premise-I
for	Premise-I
any	Premise-I
public	Premise-I
school	Premise-I
to	Premise-I
have	Premise-I
a	Premise-I
code	Premise-I
of	Premise-I
conduct	Premise-I
for	Premise-I
teachers	Premise-I
,	Premise-I
for	Premise-I
instance	Premise-I
that	Premise-I
they	Premise-I
grade	Premise-I
homework	Premise-I
in	Premise-I
a	Premise-I
timely	Premise-I
manner	Premise-I
and	Premise-I
provide	Premise-I
prompt	Premise-I
feedback	Premise-I
,	Premise-I
parents	Premise-I
must	Premise-I
too	Premise-I
often	Premise-I
fill	Premise-I
in	Premise-I
and	Premise-I
do	Premise-I
the	Premise-I
individualized	Premise-I
teaching	Premise-I
that	Premise-I
their	Premise-I
kids	Premise-I
need	Premise-I
,	Premise-I
and	Premise-I
are	Premise-I
not	Premise-I
getting	Premise-I
at	Premise-I
the	Premise-I
school	Premise-I
.	Premise-I
