If	Premise-B
medicine	Premise-I
were	Premise-I
still	Premise-I
at	Premise-I
the	Premise-I
level	Premise-I
of	Premise-I
the	Premise-I
19th	Premise-I
century	Premise-I
when	O
Mary	O
Baker	O
Eddy	O
came	O
up	O
with	O
her	O
concept	O
I	O
would	O
say	O
faith	O
based	O
healing	O
would	O
rank	O
well	O
with	O
say	O
,	O
blood	O
letting	O
,	O
mustard	O
plasters	O
or	O
the	O
wonders	O
of	O
goose	O
grease	O
and	O
turpentine	O
.	O
Good	O
Lord	O
,	O
antiseptic	O
practices	O
like	O
hand	O
washing	O
between	O
patients	O
weren't	O
even	O
widely	O
accepted	O
by	O
the	O
Doctors	O
of	O
the	O
day	O
.	O
You	O
probably	O
were	O
better	O
off	O
praying	O
that	O
the	O
doctor	O
wouldn't	O
find	O
you	O
if	O
you	O
got	O
sick	O
!	O
