My	Premise-B
girls	Premise-I
'	Premise-I
friend	Premise-I
was	Premise-I
texting	Premise-I
through	Premise-I
a	Premise-I
movie	Premise-I
,	Premise-I
texting	Premise-I
while	Premise-I
we	Premise-I
were	Premise-I
eating	Premise-I
,	Premise-I
texting	Premise-I
while	Premise-I
we	Premise-I
are	Premise-I
at	Premise-I
the	Premise-I
beach	Premise-I
-	Premise-I
until	Premise-I
we	Premise-I
took	Premise-I
the	Premise-I
phone	Premise-I
away	Premise-I
.	Premise-I
I	O
don't	O
know	O
if	O
playing	O
,	O
staring	O
at	O
waves	O
break	O
,	O
or	O
following	O
the	O
action	O
on	O
the	O
screen	O
is	O
better	O
than	O
texting	O
friends	O
.	O
But	O
I	O
know	O
this	O
girls	O
cannot	O
be	O
in	O
two	O
places	O
at	O
once	O
.	O
I	O
still	O
think	O
it	O
is	O
important	O
to	O
be	O
aware	O
and	O
engaged	O
in	O
the	O
world	O
around	O
you	O
.	O
Otherwise	O
we	O
can	O
just	O
put	O
her	O
in	O
a	O
room	O
,	O
leave	O
the	O
lights	O
on	O
low	O
,	O
and	O
check	O
in	O
on	O
her	O
in	O
thirty	O
years	O
and	O
see	O
what	O
happened	O
.	O
Maybe	O
then	O
we	O
will	O
know	O
?	O
