As	Premise-B
degrading	Premise-I
and	Premise-I
horrible	Premise-I
as	Premise-I
the	Premise-I
act	Premise-I
of	Premise-I
human	Premise-I
trafficking	Premise-I
was	Premise-I
during	Premise-I
the	Premise-I
transatlantic	Premise-I
slave	Premise-I
trade	Premise-I
,	Premise-I
nothing	Premise-I
can	Premise-I
be	Premise-I
done	Premise-I
to	Premise-I
heal	Premise-I
that	Premise-I
wound	Premise-I
.	Premise-I
At	O
the	O
time	O
it	O
was	O
acceptable	O
;	O
when	O
the	O
New	O
World	O
was	O
discovered	O
,	O
once	O
America	O
declared	O
it	O
independence	O
,	O
slavery	O
was	O
abolished	O
after	O
much	O
'	O
kicking	O
and	O
screaming	O
'	O
.	O
Consider	O
this	O
:	O
IN	O
NO	O
WAY	O
,	O
SHAPE	O
OR	O
FORM	O
excusing	O
the	O
action	O
,	O
the	O
benefit	O
derived	O
was	O
the	O
citizenship	O
and	O
cultural	O
influence	O
in	O
helping	O
shape	O
the	O
country	O
-	O
both	O
good	O
and	O
bad	O
.	O
While	O
the	O
black	O
community	O
makes	O
up	O
~	O
18%	O
of	O
the	O
population	O
,	O
issues	O
like	O
illegal	O
immigration	O
and	O
immigration	O
reform	O
have	O
a	O
large	O
impact	O
on	O
the	O
economic	O
well-being	O
in	O
the	O
minority	O
precincts	O
around	O
the	O
country	O
.	O
The	O
white-Hispanics	O
who	O
want	O
open	O
borders	O
and	O
demand	O
job	O
opportunities	O
when	O
they're	O
not	O
US	O
citizens	O
are	O
the	O
ones	O
haranguing	O
the	O
legislators	O
about	O
amnesty	O
and	O
work	O
permits	O
.	O
Issuing	O
work	O
permits	O
and	O
SSNs	O
will	O
only	O
create	O
more	O
identity	O
theft	O
and	O
fewer	O
employment	O
opportunities	O
for	O
the	O
minority	O
community	O
.	O
Is	O
that	O
any	O
kind	O
of	O
reparation	O
?	O
