Women	Premise-B
take	Premise-I
a	Premise-I
risk	Premise-I
in	Premise-I
using	Premise-I
their	Premise-I
real	Premise-I
name	Premise-I
.	Premise-I
It	Premise-I
is	Premise-I
not	Premise-I
worth	Premise-I
it	Premise-I
.	Premise-I
There	Premise-I
are	Premise-I
too	Premise-I
many	Premise-I
seriously	Premise-I
deranged	Premise-I
people	Premise-I
out	Premise-I
there	Premise-I
.	Premise-I
Beyond	O
that	O
I	O
have	O
a	O
name	O
that	O
was	O
once	O
used	O
by	O
a	O
famous	O
stripper	O
and	O
also	O
by	O
a	O
character	O
in	O
a	O
comic	O
strip	O
.	O
Over	O
the	O
years	O
my	O
phone	O
number	O
has	O
received	O
some	O
very	O
interesting	O
unsolicited	O
calls	O
and	O
I	O
have	O
been	O
told	O
me	O
real	O
name	O
was	O
not	O
real	O
(	O
the	O
comic	O
strip	O
interpretation	O
)	O
including	O
on	O
my	O
resume	O
.	O
Monitored	O
comments	O
is	O
the	O
sensible	O
solution	O
.	O
And	O
yes	O
,	O
I	O
avoid	O
Facebook	O
because	O
of	O
the	O
name	O
required	O
mandate	O
.	O
