Human	Premise-B
moderation	Premise-I
is	Premise-I
the	Premise-I
key	Premise-I
.	Premise-I
There	O
are	O
terms	O
and	O
conditions	O
,	O
and	O
if	O
a	O
commenter	O
fails	O
to	O
meet	O
them	O
,	O
their	O
comment	O
does	O
not	O
get	O
posted	O
.	O
The	O
network	O
should	O
disallow	O
anonymous	O
posting	O
.	O
This	O
means	O
comment	O
sections	O
cost	O
a	O
newspaper	O
more	O
money	O
,	O
as	O
they	O
generate	O
money	O
.	O
Do	O
they	O
make	O
a	O
profit	O
?	O
As	O
newspapers	O
are	O
firing	O
employees	O
,	O
it	O
becomes	O
a	O
hard	O
choice	O
.	O
If	O
disabling	O
a	O
comment	O
section	O
does	O
not	O
hurt	O
the	O
bottom	O
line	O
,	O
get	O
rid	O
of	O
it	O
.	O
No	O
one	O
wants	O
to	O
know	O
what	O
is	O
at	O
the	O
anonymous	O
back	O
of	O
anyone's	O
mind	O
in	O
the	O
age	O
of	O
social	O
media	O
.	O
