Not	Premise-B
sure	Premise-I
why	Premise-I
Nadelmann	Premise-I
doesn't	Premise-I
say	Premise-I
it	Premise-I
here	Premise-I
,	Premise-I
but	Premise-I
the	Premise-I
vast	Premise-I
majority	Premise-I
of	Premise-I
users	Premise-I
of	Premise-I
any	Premise-I
drug	Premise-I
do	Premise-I
not	Premise-I
become	Premise-I
regular	Premise-I
problem	Premise-I
users	Premise-I
.	Premise-I
Who	O
has	O
problems	O
with	O
drugs	O
?	O
And	O
why	O
?	O
Blanket	O
denunciations	O
and	O
prohibition	O
are	O
failed	O
approaches	O
.	O
People	O
.	O
Use	O
.	O
Drugs	O
.	O
Those	O
who	O
have	O
resources	O
and	O
good	O
social	O
integration	O
are	O
much	O
less	O
likely	O
to	O
have	O
problems	O
with	O
them	O
.	O
Better	O
society	O
as	O
harm	O
reduction	O
,	O
anyone	O
?	O
