Doo	Premise-B
,	Premise-I
why	Premise-I
wouldn't	Premise-I
she	Premise-I
also	Premise-I
speak	Premise-I
out	Premise-I
against	Premise-I
Hillary	Premise-I
when	Premise-I
it's	Premise-I
been	Premise-I
just	Premise-I
as	Premise-I
documented	Premise-I
or	Premise-I
even	Premise-I
more	Premise-I
so	Premise-I
,	Premise-I
that	Premise-I
she	Premise-I
is	Premise-I
a	Premise-I
threat	Premise-I
to	Premise-I
the	Premise-I
United	Premise-I
States	Premise-I
?.	Premise-I
Because	Premise-I
it's	Premise-I
just	Premise-I
an	Premise-I
opinion	Premise-I
and	Premise-I
everyone	Premise-I
has	Premise-I
one	Premise-I
of	Premise-I
those	Premise-I
.	Premise-I
The	O
main	O
threat	O
as	O
I	O
see	O
it	O
is	O
continuing	O
as	O
though	O
everything	O
is	O
ok	O
with	O
the	O
current	O
path	O
we	O
are	O
on	O
.	O
Sad	O
