Of	Premise-B
course	Premise-I
it's	Premise-I
sustainable	Premise-I
but	Premise-I
the	Premise-I
party	Premise-I
(	Premise-I
republican	Premise-I
)	Premise-I
in	Premise-I
control	Premise-I
of	Premise-I
congress	Premise-I
wants	Premise-I
it	Premise-I
to	Premise-I
fail	Premise-I
and	Premise-I
has	Premise-I
thrown	Premise-I
every	Premise-I
roadblock	Premise-I
in	Premise-I
its	Premise-I
way	Premise-I
that	Premise-I
they	Premise-I
could	Premise-I
.	Premise-I
If	O
they	O
had	O
actually	O
worked	O
with	O
the	O
democrats	O
,	O
we	O
could	O
have	O
had	O
a	O
much	O
better	O
plan	O
.	O
For	O
almost	O
8	O
years	O
now	O
,	O
they've	O
refused	O
to	O
help	O
in	O
running	O
the	O
country	O
and	O
have	O
tried	O
to	O
block	O
everything	O
.	O
