Another	Premise-B
false	Premise-I
corporate	Premise-I
effort	Premise-I
,	Premise-I
like	Premise-I
the	Premise-I
bleats	Premise-I
from	Premise-I
the	Premise-I
oil	Premise-I
companies	Premise-I
about	Premise-I
how	Premise-I
much	Premise-I
they	Premise-I
spend	Premise-I
(	Premise-I
sic	Premise-I
)	Premise-I
to	Premise-I
save	Premise-I
the	Premise-I
environment	Premise-I
or	Premise-I
the	Premise-I
periodic	Premise-I
efforts	Premise-I
of	Premise-I
fast	Premise-I
food	Premise-I
chains	Premise-I
to	Premise-I
convince	Premise-I
us	Premise-I
they	Premise-I
have	Premise-I
healthy	Premise-I
menus	Premise-I
for	Premise-I
us	Premise-I
before	Premise-I
they	Premise-I
turn	Premise-I
around	Premise-I
in	Premise-I
the	Premise-I
next	Premise-I
advertising	Premise-I
cycle	Premise-I
and	Premise-I
again	Premise-I
propose	Premise-I
we	Premise-I
eat	Premise-I
cheese	Premise-I
,	Premise-I
bacon	Premise-I
and	Premise-I
grease/fat	Premise-I
sandwiches	Premise-I
.	Premise-I
Blame	O
refrigerators/freezers	O
that	O
allow	O
us	O
to	O
buy	O
and	O
store	O
all	O
the	O
junk	O
purveyed	O
.	O
When	O
people	O
ate	O
day	O
to	O
day	O
they	O
didn't	O
gobble	O
down	O
so	O
much	O
.	O
Half	O
of	O
our	O
burgeoning	O
national	O
medical	O
bill	O
is	O
sourced	O
to	O
the	O
diseases	O
of	O
obesity	O
.	O
Eat	O
up	O
,	O
America	O
!	O
