There	Premise-B
would	Premise-I
be	Premise-I
very	Premise-I
little	Premise-I
difference	Premise-I
in	Premise-I
the	Premise-I
price	Premise-I
of	Premise-I
fruits	Premise-I
and	Premise-I
vegetables	Premise-I
if	Premise-I
the	Premise-I
farmers	Premise-I
paid	Premise-I
a	Premise-I
reasonable	Premise-I
wage	Premise-I
.	Premise-I
They'd	O
need	O
to	O
do	O
it	O
together	O
to	O
not	O
harm	O
each	O
other	O
in	O
the	O
food	O
market	O
,	O
that's	O
what	O
the	O
unions	O
and	O
cooperatives	O
are	O
for	O
.	O
And	O
we	O
really	O
need	O
to	O
license	O
the	O
labor	O
contractors	O
.	O
So	O
that	O
they	O
lose	O
their	O
licenses	O
if	O
they	O
don't	O
provide	O
adequate	O
water	O
and	O
toilets	O
to	O
workers	O
in	O
the	O
fields	O
.	O
No	O
farmer	O
wants	O
a	O
dead	O
worker	O
featured	O
in	O
their	O
harvest	O
.	O
It	O
brings	O
a	O
farmer's	O
competency	O
into	O
question	O
among	O
the	O
community	O
.	O
Mostly	O
,	O
farmers	O
who	O
pay	O
less	O
than	O
good	O
wages	O
are	O
megafarms	O
and	O
cheaters	O
.	O
They	O
like	O
illegal	O
aliens	O
because	O
they	O
can	O
unload	O
the	O
costs	O
associated	O
with	O
hiring	O
workers	O
onto	O
the	O
neighboring	O
communities	O
.	O
And	O
because	O
these	O
workers	O
are	O
less	O
likely	O
to	O
know	O
and	O
object	O
when	O
they	O
are	O
being	O
exposed	O
to	O
pesticides	O
or	O
abuse	O
.	O
