I've	Premise-B
been	Premise-I
vegan	Premise-I
for	Premise-I
20	Premise-I
years	Premise-I
and	Premise-I
I	Premise-I
feel	Premise-I
great	Premise-I
.	Premise-I
I	O
supplement	O
with	O
B-12	O
,	O
Vitamin	O
D	O
and	O
Flax	O
Seed	O
Oil	O
for	O
Omega	O
3's	O
.	O
I	O
exercise	O
daily	O
and	O
don't	O
drink	O
or	O
smoke	O
.	O
As	O
others	O
have	O
said	O
,	O
is	O
the	O
problem	O
that	O
my	O
diet	O
may	O
lack	O
animal	O
flesh	O
and	O
a	O
few	O
easily	O
replaced	O
nutrients	O
or	O
that	O
that	O
so	O
many	O
carnivores	O
eat	O
way	O
too	O
much	O
of	O
both	O
flesh	O
and	O
everything	O
else	O
?	O
I	O
