I'm	Premise-B
not	Premise-I
well	Premise-I
educated	Premise-I
,	Premise-I
and	Premise-I
I	Premise-I
have	Premise-I
,	Premise-I
as	Premise-I
yet	Premise-I
,	Premise-I
to	Premise-I
speak	Premise-I
to	Premise-I
anyone	Premise-I
who	Premise-I
pays	Premise-I
a	Premise-I
13.9	Premise-I
percent	Premise-I
federal	Premise-I
tax	Premise-I
on	Premise-I
their	Premise-I
income	Premise-I
.	Premise-I
Whats	O
worse	O
,	O
to	O
my	O
thinking	O
is	O
that	O
people	O
I	O
know	O
well	O
enough	O
to	O
ask	O
aren't	O
that	O
interested	O
that	O
someone	O
else	O
does	O
.	O
That	O
disinterest	O
,	O
as	O
far	O
as	O
I	O
can	O
see	O
,	O
represents	O
an	O
attitude	O
less	O
of	O
ambivalence	O
,	O
than	O
the	O
far	O
more	O
worrisome	O
kind	O
...	O
resignation	O
.	O
As	O
any	O
investment	O
,	O
compared	O
to	O
any	O
other	O
investment	O
,	O
will	O
likely	O
reflect	O
as	O
much	O
on	O
means	O
as	O
intentions	O
,	O
it	O
might	O
serve	O
to	O
consider	O
that	O
a	O
tax	O
policy	O
that	O
fosters	O
,	O
for	O
lack	O
of	O
a	O
better	O
word	O
...	O
hording	O
..	O
might	O
just	O
run	O
counter	O
to	O
the	O
thinking	O
of	O
those	O
of	O
us	O
who	O
think	O
that	O
economic	O
development	O
and	O
refinement	O
are	O
to	O
be	O
preferred	O
to	O
,	O
perhaps	O
...	O
oh	O
...	O
atavism	O
.	O
