author	voteUpCount	voteDownCount	text	id	timestamp	title	description	url	stance1	stance2	annotatedSarcastic	annotatedStanceBothSides	annotatedStance
Ed	4	0	I'm curious when Democrats pull the lever for Dem candidates is this the type of thing they have in mind as they vote? It appears to me the Dems are willing to stoop to any manner of lawlessness to accommodate people who have flaunted are immigration laws. I can't imagine many people beyond those that stand to benefit from this being supportive.	12121613	Thu Jun 26 00:00:00 CEST 2014	Citizen of the State of New York	Is state citizenship the answer to immigration reform?	/roomfordebate/2014/06/24/is-state-citizenship-the-answer-to-immigration-reform	State citizenship is not the answer to immigration reform	State citizenship is the answer to immigration reform	false	false	State citizenship is not the answer to immigration reform
Ordinary Person	15	0	This is the worst article this newspaper has ever run on this issue. The author sets up a ridiculous series of strawmen that do not exist. He fails to distinguish between legal and illegal immigration. He implies that someone should have the right to break our laws just because they have given birth here. He talks about the rights he wants to hand such people but he never really talks about the kinds of responsibilities most Americans want from any potential immigrants -- fluent English, no access to any kind of tax payer provided assistance, full observance of all our laws including labor laws. As the sign leading to Brooklyn states, FUGETABOUTIT! No form of citizenship for people who break our laws. If this bothers them, they are more than welcome to do what we want and leave.	12118949	Wed Jun 25 00:00:00 CEST 2014	Citizen of the State of New York	Is state citizenship the answer to immigration reform?	/roomfordebate/2014/06/24/is-state-citizenship-the-answer-to-immigration-reform	State citizenship is not the answer to immigration reform	State citizenship is the answer to immigration reform	false	false	State citizenship is not the answer to immigration reform
Miguel Hernandez	1	0	Not a good idea because it would set a precedent to let the anti immigrant states write their own restrictive laws. that said at minimum New York should issue temporary special instate drivers licenses to non citizens so they legally drive and have the ability to purchase insurance.	12118409	Wed Jun 25 00:00:00 CEST 2014	Citizen of the State of New York	Is state citizenship the answer to immigration reform?	/roomfordebate/2014/06/24/is-state-citizenship-the-answer-to-immigration-reform	State citizenship is not the answer to immigration reform	State citizenship is the answer to immigration reform	false	false	State citizenship is not the answer to immigration reform
mike melcher	19	0	Markowitz like most other liberals is in fact the ultimate hypocrite. When the Red states passed their anti-illegal laws liberals response was that they usurped the Federal Government's role as the sole authority where immigration was concerned. How does this proposal not do exactly the same thing albeit in the opposite direction?	12115416	Wed Jun 25 00:00:00 CEST 2014	Citizen of the State of New York	Is state citizenship the answer to immigration reform?	/roomfordebate/2014/06/24/is-state-citizenship-the-answer-to-immigration-reform	State citizenship is not the answer to immigration reform	State citizenship is the answer to immigration reform	true	false	State citizenship is not the answer to immigration reform
George S	16	0	So someone who is in this country illegally, ignores and disrespects our sovereignty and laws, does not have to show any knowledge or allegiance to our nation is going to vote for government officials? Worse, they are going to decide the fate of persons in criminal cases, a jury supposedly of our peers but instead decided on what, their culture or knowledge from a foreign land, often places that do not have our constitutional protections? Are these abdicates insane?	12114985	Wed Jun 25 00:00:00 CEST 2014	Citizen of the State of New York	Is state citizenship the answer to immigration reform?	/roomfordebate/2014/06/24/is-state-citizenship-the-answer-to-immigration-reform	State citizenship is not the answer to immigration reform	State citizenship is the answer to immigration reform	false	false	State citizenship is not the answer to immigration reform
Richard	1	0	"This concept of allowing of states to grant citizenship is a really bad idea. While the idea of states granting citizenship has historical roots and may make North East and West Coast Blues States feel good the precedent has serious drawbacks. Does anyone for a minute believe that some of the more retrograde red states would not seize on the opportunity to make state citizenship far more restrictive in their bailiwicks. I can picture some of these states going back to the original definition ""White Male Property Owners over 21 years of age"" and probably add membership in a fundamentalist Protestant church as an enhancement. In short This is a really bad idea."	12118061	Wed Jun 25 00:00:00 CEST 2014	Citizen of the State of New York	Is state citizenship the answer to immigration reform?	/roomfordebate/2014/06/24/is-state-citizenship-the-answer-to-immigration-reform	State citizenship is not the answer to immigration reform	State citizenship is the answer to immigration reform	false	false	State citizenship is not the answer to immigration reform
Realist	1	0	Hmmm... the States-Righters ought to love this, huh? It certainly has precedents and does not seem prima facie unconstitutional. After all, would not a lot of Texans, Alaskans, and others enjoy giving total fealty to their state and avoiding any responsibility to a larger polity? No? When enough people realize that immigration is driven by forces much stronger and more pervasive than domestic policy, that it cannot be eliminated by laws, fences, patrols, or any other local action, and that it will continue to be the boon for us that it has always been, perhaps then a rational discussion will ensue.	12118132	Wed Jun 25 00:00:00 CEST 2014	Citizen of the State of New York	Is state citizenship the answer to immigration reform?	/roomfordebate/2014/06/24/is-state-citizenship-the-answer-to-immigration-reform	State citizenship is not the answer to immigration reform	State citizenship is the answer to immigration reform	false	false	State citizenship is not the answer to immigration reform
Sequel	6	0	Determining entitlement to reparations would open major wounds in US society. The issue of the extent of racial mixing would have to be addressed -- a topic that the US (particularly the South, where it was rampant) finds extremely painful. Aside from permitting reparations for people who are obviously white, it would open a socially-divisive new polemic on determining who is white and who is black, based on genetics. As a society that is pretty much committed to allowing natural processes to make us, as individuals, as rainbow as we wish to be, reparations would be a terrible step backwards into social identifications based on race.	16312746	Thu Oct 08 00:00:00 CEST 2015	Are Trans-Atlantic Slave Trade Reparations Due?	Should former colonial powers pay reparations for the Atlantic slave trade?	/roomfordebate/2015/10/08/are-transatlantic-slave-trade-reparations-due	Former colonial powers should not pay reparations	Former colonial powers should pay reparations	false	false	Former colonial powers should not pay reparations
Cristino Xirau	7	0	As a student of history I have learned that it is not wise to apply the understandings, mores and concerns of one's own time and place to past generations. George Washington owned slaves and no one in his day thought him any the worse for it. Indeed, I dare say he would be hard pressed to understand, let alone consider, the arguments of anyone in today's world favoring reparations for what was a legal and acceptable practice in his day and age. People of every time and place should be seen in the terms of their own time and place - not ours. If history teaches us anythiing it might for us to examine the failures of the past and at least attempt not to repeat them in our present.	16325513	Fri Oct 09 00:00:00 CEST 2015	Are Trans-Atlantic Slave Trade Reparations Due?	Should former colonial powers pay reparations for the Atlantic slave trade?	/roomfordebate/2015/10/08/are-transatlantic-slave-trade-reparations-due	Former colonial powers should not pay reparations	Former colonial powers should pay reparations	false	false	Former colonial powers should not pay reparations
NorthernVirginia	3	0	"If an individual or a group is managing their affairs poorly, chances are, it has nothing to do with the way their forebears were treated 150 years ago and beyond. I would suggest that they look in the mirror and recite a little Shakespeare: ""to thine own self be true""."	16319702	Fri Oct 09 00:00:00 CEST 2015	Are Trans-Atlantic Slave Trade Reparations Due?	Should former colonial powers pay reparations for the Atlantic slave trade?	/roomfordebate/2015/10/08/are-transatlantic-slave-trade-reparations-due	Former colonial powers should not pay reparations	Former colonial powers should pay reparations	false	false	Former colonial powers should not pay reparations
